ID,ANIMAL NAME,PHOTO,PROFILE,PHOTO LOCATION,ORIGINAL ID BY,SEX,TAGGED,PIT TAG,DNA,SAMPLE .,CU SAMPLE,DNA PLATE,WELL,NOTES,AGE,GENERAL LOCATION,DATE TAGGED,DATE DNA TAKEN,TAG 30/09,GENOTYPED,GENOTYPED SAMPLE NO,EXTACTED?,DATE EXTRACTED,DATE GENOTYPED,TAIL,BLOOD,SKIN,FAECES
1,Acer,FALSE,L & R,2,UQ,M,FALSE,,TRUE,114,,2,G10,Scar on tail base behind left hind leg.,Adult,SPEC,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
2,Admiral,TRUE,R,2,UQ,M,TRUE,2298306,TRUE,115,,2,H10,,Adult,BROMS,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
3,Ajax,TRUE,R,1,UQ,M,TRUE,3174266,TRUE,66,AA60357/358,1,F9-C12,,Adult,RAINFST,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
4,Adrian,TRUE,L & R,2,CF,M,TRUE,2298370,TRUE,116,,2,A11,,Adult,BROMS,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
5,Aladdin,TRUE,L & R,1,UQ,F,TRUE,2298336,TRUE,117,,2,B11,,Juvenile,RAINFST,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
6,Albert,TRUE,L & R,2,UQ,M,TRUE,2293279,TRUE,237,,,,,Adult,SPEC,20/03/2013,20/03/2013,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
7,Alfred,TRUE,L,2,UQ,M,FALSE,,FALSE,,,,,,Adult,SPEC,,,,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
9,Amigo,TRUE,R,1,UQ,M,TRUE,3180604,TRUE,72,AA60369/370,1,D10,,Adult,RAINFST,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
10,Amy,TRUE,L,2,UQ,F,FALSE,,FALSE,,,,,,Adult,SPEC,,,,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
11,Andy,TRUE,L & R,2,UQ,M,TRUE,3185785,TRUE,62,AA60349/350,1,A9,Missing an ear,Adult,SPEC,,,,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
13,Angie,TRUE,L & R,1,UQ,F,TRUE,2298390,TRUE,126,,2,B12,,Adult,RAINFST,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
14,Angus,TRUE,R,1,UQ,M,TRUE,3176165,TRUE,73,AA60371/372,1,E10,Not enough sample left to genotype,Adult,RAINFST,,,,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
15,Annie,TRUE,L & R,2,UQ,F,TRUE,3178744,TRUE,15,AA60055/56,1,,,Adult,SPEC,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
16,Apollo,TRUE,L,1,UQ,M,TRUE,2298387,TRUE,118,,2,C11,,Adult,RAINFST,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
17,Apprentice,TRUE,L,2,UQ,M,FALSE,,FALSE,,,,,,Adult,PGROUND,,,,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
18,Apricot,TRUE,L & R,2,UQ,F,TRUE,2298319,TRUE,204,,,,,Adult,SPEC,11/03/2013,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
19,Archie,TRUE,L,1,UQ,M,TRUE,2298397,TRUE,120,,2,,DNA did not work. Damaged broken tail.,Adult,RAINFST,,,,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
21,Arnie,TRUE,R,2,UQ,M,TRUE,3180042,TRUE,77 & 136,AA60379/380,1-3,A11-H1,,Adult,SPEC,,,,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
22,Aurora,TRUE,R,2,UQ,F,FALSE,,FALSE,,,,,,Adult,SPEC,,,,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
24,Bagel,TRUE,R,2,UQ,M,TRUE,2298399,TRUE,103,,2,D9,,Juvenile,PGROUND,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
26,Banana,TRUE,L & R,1,UQ,M,TRUE,2298334,TRUE,129,,3,A1,,Adult,BBABS,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
27,Barney,TRUE,L,2,UQ,M,FALSE,,FALSE,,,,,,Adult,SPEC,,,,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
28,Barron,TRUE,L & R,2,UQ,M,TRUE,3178835,TRUE,24 & 400,AA60073/74,1,H4,,Adult,SPEC,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
29,Beans,TRUE,L & R,1,UQ,F,TRUE,880098437,TRUE,70 & 355,AA60365/366,1,B10,Old pit tag : 3177613,Adult,RAINFST,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
30,Bella,TRUE,L & R,2,UQ,F,FALSE,,FALSE,,,,,,Adult,LAKE,,,,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
31,Benji,TRUE,L,2,UQ,M,TRUE,2298346,TRUE,105,,2,F9,,Adult,PGROUND,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
32,Benson,TRUE,,,,M,TRUE,2298366,TRUE,119,,2,D11,No photo,Adult,RAINFST,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
33,Berry,TRUE,L,2,UQ,F,TRUE,2298339,TRUE,111,,2,D10,,Juvenile,SPEC,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
34,Bert,TRUE,R,2,UQ,M,FALSE,,FALSE,,,,,,Adult,SPEC,,,,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
36,Binky,TRUE,L & R,2,UQ,F,TRUE,3170803,TRUE,18,AA60061/62,1,B4,,Adult,SPEC,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
37,Birdy,TRUE,L,1,UQ,F,FALSE,,FALSE,,,,,,Juvenile,BBABS,,,,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
38,Biscuit,TRUE,R,1,UQ,M,TRUE,3174483,TRUE,30,AA60085/86,1,E5,Not enough sample left to genotype,Adult,RAINFST,,,,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
40,Bo,TRUE,L,2,UQ,M,TRUE,2293207,TRUE,232,,,,,Adult,SPEC,18/03/2013,18/03/2013,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
41,Bobby,TRUE,L,2,UQ,M,FALSE,,FALSE,,,,,,Adult,SPEC,,,,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
43,Bogart,TRUE,L & R,2,UQ,F,TRUE,2298333,TRUE,123,,2,G11,,Adult,SPEC,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
44,Bongo,TRUE,L & R,2,UQ,M,TRUE,3196608,TRUE,17 &RSP316,AA60059/60,1,A4,,Adult,SPEC,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
46,Brandy,TRUE,L & R,1,UQ,M,TRUE,2293977,TRUE,147,,,,"First record M, second record F. Slightly orange on belly so recorded as male.",Juvenile,BBABS,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
47,Brooke,TRUE,,,,F,TRUE,3170365,TRUE,69,AA60363/364,1,A10,No photo; Not enough sample left to genotype,Adult,RAINFST,,,,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
49,Buddy,TRUE,L & R,2,UQ,M,TRUE,880098204,TRUE,113,,2,F10,Old pit tag: 2298318,Adult,SPEC,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
50,Bugs,TRUE,L,2,UQ,M,FALSE,,FALSE,,,,,,Adult,SPEC,,,,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
51,Bunny,TRUE,R,2,UQ,F,FALSE,,FALSE,,,,,,Adult,SPEC,,,,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
52,Butter,TRUE,L,2,UQ,F,FALSE,,FALSE,,,,,,Adult,BROMS,,,,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
53,Byron,TRUE,R,2,UQ,M,TRUE,,TRUE,122,,2,F11,,Juvenile,PGROUND,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
54,Cashew,TRUE,L & R,2,UQ,M,TRUE,2298363,TRUE,134,,3,F1,,Adult,SPEC,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
55,Casper,TRUE,R,2,UQ,M,FALSE,,FALSE,,,,,,Adult,SPEC,,,,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
56,Charlie,TRUE,L & R,1,UQ,M,TRUE,3188383,TRUE,74,AA60373/374,1,F10,,Adult,RAINFST,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
57,Cheesey,TRUE,L & R,2,UQ,M,TRUE,2298395,TRUE,101,,2,B9,,Adult,BROMS,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
58,Cheska,TRUE,R,2,UQ,F,FALSE,,FALSE,,,,,,Adult,SPEC,,,,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
59,Chip,TRUE,L & R,2,UQ,M,TRUE,2298385,TRUE,131,,3,C1,,Adult,SPEC,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
61,Chop,TRUE,L,1,UQ,M,TRUE,2298374,TRUE,98,,2,G8,,Adult,ARID,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
64,Clover,TRUE,L,2,UQ,M,TRUE,880098406,TRUE,326,,,,,Adult,SPEC,,7/04/2015,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
65,Clyde,TRUE,L,2,UQ,M,FALSE,,FALSE,,,,,,Adult,SPEC,,,,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
66,Cody,TRUE,L & R,2,UQ,M,FALSE,,FALSE,,,,,,Adult,SPEC,,,,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
67,Coffee,TRUE,L,2,UQ,F,FALSE,,FALSE,,,,,,Adult,SPEC,,,,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
68,Cookie,TRUE,R,1,UQ,M,FALSE,,FALSE,,,,,,Adult,ARID,,,,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
69,Coral,TRUE,L & R,2,UQ,F,TRUE,3188604,TRUE,27,AA60079/80,1,C5,,Adult,SPEC,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
70,Couscous,TRUE,L,2,UQ,M,FALSE,,FALSE,,,,,,Juvenile,PGROUND,,,,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
72,Cricket,FALSE,L & R,2,UQ,F,TRUE,3190840,TRUE,64,AA60353/354,1,C9,,Adult,SPEC,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
73,Crispy,TRUE,L & R,1,UQ,F,FALSE,,FALSE,,,,,,Adult,ARID,,,,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
74,Dagwood,TRUE,R,2,UQ,M,FALSE,,FALSE,,,,,,Adult,SPEC,,,,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
75,Daisy,TRUE,R,2,UQ,F,TRUE,3177513,TRUE,5,AA60035/36,1,G2,Not enough sample left to genotype,Adult,BROMS,,,,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
77,Deisel,TRUE,L,2,UQ,M,TRUE,2298375,TRUE,84,,2,A7,Fading red markings.,Adult,SPEC,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
80,Dixie,TRUE,L & R,2,UQ,F,TRUE,2293271,TRUE,165,,,,,Adult,SPEC,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
81,Dixon,TRUE,L,1,UQ,M,FALSE,,FALSE,,,,,,Adult,RAINFST,,,,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
82,Dora,TRUE,R,2,UQ,F,FALSE,,FALSE,,,,,,Adult,SPEC,,,,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
83,Dorian,TRUE,R,2,UQ,M,TRUE,3187424,TRUE,60,AA60345/346,1,H8,Broken tail.,Adult,BROMS,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
84,Doris,TRUE,L & R,2,UQ,F,TRUE,3170281,TRUE,61,AA60347/348,1,,,Adult,SPEC,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
85,Doughboy,TRUE,L & R,2,UQ,M,TRUE,2298303,TRUE,102,,2,C9,,Juvenile,PGROUND,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
87,Drummer,FALSE,L & R,2,UQ,M,TRUE,2298357,TRUE,125,,2,A12,,Adult,SPEC,,,,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
